ds,Actual,Forecast
2005-01-03,245.465,249.44932754926214
2005-01-04,245.65,249.34610198544905
2005-01-05,246.3,249.30190579975917
2005-01-06,248.735,249.3073279844303
2005-01-07,248.3,249.25676495842913
2005-01-10,248.065,249.10493746427295
2005-01-11,246.775,249.00326748290365
2005-01-12,246.825,248.96013244180648
2005-01-13,246.93,248.96571728571317
2005-01-14,247.14,248.91401883324932
2005-01-17,245.795,248.74736630008803
2005-01-18,246.96,248.63595644431425
2005-01-19,246.695,248.58033951195668
2005-01-20,247.02,248.57060909389844
2005-01-21,246.745,248.500758621265
2005-01-24,246.17,248.26401348269593
2005-01-25,246.1,248.1249708145807
2005-01-26,245.355,248.04029237975212
2005-01-27,245.205,248.00062380740567
2005-01-28,245.115,247.90058395927628
2005-01-31,245.535,247.57885575267954
2005-02-01,245.385,247.4158863414456
2005-02-02,244.675,247.31078043455486
2005-02-03,244.335,247.25494301243066
2005-02-04,243.75,247.14371345178415
2005-02-07,244.015,246.82454262733236
2005-02-08,244.33,246.67611976398294
2005-02-09,243.915,246.59296741048598
2005-02-10,244.02,246.56664243060513
2005-02-11,244.325,246.49250140033973
2005-02-14,244.075,246.32811895806188
2005-02-15,244.18,246.2444516893682
2005-02-16,243.645,246.231621598148
2005-02-17,243.145,246.28038993877664
2005-02-18,243.31,246.28520791433556
2005-02-21,243.535,246.37050935263548
2005-02-22,242.41,246.37055387902055
2005-02-23,242.5,246.43969112184712
2005-02-24,242.375,246.56747731949673
2005-02-25,242.15,246.64717933977704
2005-02-28,241.925,246.92122994600854
2005-03-01,241.8,246.9689069492074
2005-03-02,242.28,247.07663008358645
2005-03-03,242.545,247.23329684268143
2005-03-04,241.92,247.33165529142008
2005-03-07,241.73,247.5974129622953
2005-03-08,241.645,247.62072120772362
2005-03-09,242.0,247.69357889650738
2005-03-10,243.445,247.8052993658408
2005-03-11,243.4,247.84919265218687
2005-03-14,244.95,247.90203561393886
2005-03-15,246.155,247.84096347546864
2005-03-16,247.09,247.82451433383363
2005-03-17,245.7,247.84316968052434
2005-03-18,245.8,247.79144949165487
2005-03-21,246.33,247.55448728996203
2005-03-22,247.765,247.39987658350296
2005-03-23,247.81,247.29335394343607
2005-03-24,247.845,247.22647000255103
2005-03-25,247.44,247.09473184338455
2005-03-28,247.835,246.65921954785028
2005-03-29,248.335,246.45448299708704
2005-03-30,247.315,246.30666433327534
2005-03-31,247.39,246.20759899747537
2005-04-01,247.16,246.05294594449916
2005-04-04,246.94,245.60385036833011
2005-04-05,246.775,245.41220618925695
2005-04-06,246.85,245.28561983411004
2005-04-07,246.335,245.21537155664183
2005-04-08,246.75,245.09647819036695
2005-04-11,246.125,244.7888558948367
2005-04-12,246.24,244.65302794901157
2005-04-13,246.4,244.58514007939698
2005-04-14,246.965,244.5755877251855
2005-04-15,247.785,244.5185112510486
2005-04-18,248.1,244.39469885261065
2005-04-19,249.595,244.31702097846107
2005-04-20,247.82,244.30458140376982
2005-04-21,248.775,244.34719583588213
2005-04-22,249.805,244.33850495817333
2005-04-25,249.345,244.3334606307748
2005-04-26,248.945,244.28579062341606
2005-04-27,249.88,244.2984009579044
2005-04-28,252.585,244.3611386428126
2005-04-29,252.63,244.36775829480888
2005-05-02,251.76,244.3820257770537
2005-05-03,251.49,244.3329933829655
2005-05-04,250.425,244.34100932554063
2005-05-05,250.38,244.39638021421752
2005-05-06,250.4,244.39334558320147
2005-05-09,249.935,244.3699402412095
2005-05-10,250.995,244.30710410584678
2005-05-11,249.575,244.30148168385298
2005-05-12,250.46,244.34381059430325
2005-05-13,251.125,244.3287229376451
2005-05-16,252.515,244.27832170063016
2005-05-17,252.445,244.2103570360579
2005-05-18,251.075,244.20181014396022
2005-05-19,251.25,244.24349528193142
2005-05-20,252.06,244.23006607942497
2005-05-23,252.765,244.19790454810152
2005-05-24,254.725,244.14003381756183
2005-05-25,254.92,244.14329113028435
2005-05-26,254.0,244.19827019904068
2005-05-27,252.965,244.19938545218045
2005-05-30,253.91,244.21583813380383
2005-05-31,253.58,244.1749964293693
2005-06-01,253.43,244.1953014736829
